PG.CellularComponent	PG.BiologicalProcess	PG.MolecularFunction	PG.UniprotIds	PG.Genes	PG.ProteinDescriptions	20220526_MK_LB_PB_E1200_15cm_noFAIMS_Fa2a_500ng.raw.PG.Label-Free Quant	20220526_MK_LB_PB_E1200_15cm_noFAIMS_Fa1a_500ng.raw.PG.Label-Free Quant	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T4_500ng.raw.PG.Label-Free Quant	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T3_500ng.raw.PG.Label-Free Quant	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T2_500ng.raw.PG.Label-Free Quant	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T1_500ng.raw.PG.Label-Free Quant	20220526_MK_LB_PB_E1200_15cm_noFAIMS_Fa2a_500ng.raw.PG.UniquePeptides	20220526_MK_LB_PB_E1200_15cm_noFAIMS_Fa1a_500ng.raw.PG.UniquePeptides	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T4_500ng.raw.PG.UniquePeptides	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T3_500ng.raw.PG.UniquePeptides	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T2_500ng.raw.PG.UniquePeptides	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T1_500ng.raw.PG.UniquePeptides
nucleus,mitochondrion			I3LRZ7	COA7	Cytochrome c oxidase assembly factor 7 (putative)	NaN	NaN	2673335	347920.1	NaN	1701234	NaN	NaN	1	1	NaN	1
			A0A287BE42	NEK7	NIMA related kinase 7	NaN	NaN	308565.2	NaN	1036895	5676888	NaN	NaN	4	NaN	4	4
;;;;;extracellular region,endoplasmic reticulum,Golgi apparatus;extracellular space,endoplasmic reticulum,Golgi apparatus	;;;;;liver development,proteolysis,blood coagulation,negative regulation of blood coagulation,negative regulation of apoptotic process,regulation of circulating fibrinogen levels,negative regulation of inflammatory response,positive regulation of establishment of endothelial barrier;proteolysis,blood coagulation,negative regulation of blood coagulation,negative regulation of apoptotic process,negative regulation of inflammatory response,negative regulation of coagulation,positive regulation of establishment of endothelial barrier	;;;;;serine-type endopeptidase activity,calcium ion binding;serine-type endopeptidase activity,calcium ion binding	A0A5G2QFN7;A0A5G2QSF4;A0A5G2R164;A0A5G2RIA8;A0A5G2RJM5;I3LRJ4;Q9GLP2	PROC	Vitamin K-dependent protein C	NaN	NaN	3131819	NaN	100637.8	NaN	NaN	NaN	2	NaN	2	NaN
;;cytoplasm,plasma membrane	;;proteolysis	;;calcium-dependent cysteine-type endopeptidase activity,calcium ion binding	A0A5G2RH51;A0A5S6GT88;P04574	LPCAT2;CAPNS1;CAPNS1	Lysophosphatidylcholine acyltransferase 2;Calcium-activated neutral proteinase small subunit;Calpain small subunit 1	NaN	NaN	1989015	957024.2	NaN	237509.1	NaN	NaN	1	1	NaN	1
			A0A287AQK8	COX19	Cytochrome c oxidase assembly factor COX19	NaN	NaN	33201.3	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN	NaN
;;;;;;;;	;;;;;;;;	;;;;;;;;	A0A286ZJX9;A0A286ZRZ7;A0A286ZTC5;A0A287A3B0;A0A287AW88;A0A287BLH2;A0A287BSS7;A0A480KBZ1;F1RG15	SPAG9;SPAG9;SPAG9;MAPK8IP3;SPAG9;SPAG9;SPAG9;SPAG9;MAPK8IP3	Sperm associated antigen 9;Sperm associated antigen 9;Sperm associated antigen 9;Mitogen-activated protein kinase 8 interacting protein 3;Sperm associated antigen 9;C-Jun-amino-terminal kinase-interacting protein 4 isoform 1;Sperm associated antigen 9;C-Jun-amino-terminal kinase-interacting protein 4 isoform X1;C-Jun-amino-terminal kinase-interacting protein 3 isoform X9	NaN	NaN	206181.5	NaN	109448.3	NaN	NaN	NaN	1	NaN	1	NaN
;centrosome,microtubule,adherens junction,bicellular tight junction,lateral plasma membrane	;microtubule cytoskeleton organization,mitotic cell cycle,protein folding,tubulin complex assembly,post-chaperonin tubulin folding pathway,negative regulation of microtubule polymerization,adherens junction assembly,positive regulation of GTPase activity,cell morphogenesis involved in neuron differentiation,bicellular tight junction assembly	;GTPase activator activity,beta-tubulin binding	A0A5G2QAV5;F1RZZ1	TBCD	Tubulin-specific chaperone D	NaN	NaN	98411.81	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN	NaN
;;mitochondrion	;;glyoxylate catabolic process,4-hydroxyproline catabolic process,oxalate metabolic process,pyruvate biosynthetic process	;;4-hydroxy-2-oxoglutarate aldolase activity,protein homodimerization activity	A0A5G2QL97;A0A5G2R3I9;F1S8X9	HOGA1	4-hydroxy-2-oxoglutarate aldolase, mitochondrial;4-hydroxy-2-oxoglutarate aldolase, mitochondrial;4-hydroxy-2-oxoglutarate aldolase, mitochondrial	NaN	NaN	938821.3	NaN	1535261	914453.9	NaN	NaN	1	NaN	1	1
;cytoplasm	;lysyl-tRNA aminoacylation	;nucleic acid binding,lysine-tRNA ligase activity,ATP binding	A0A287A3Q5;F1S458	KARS1	Lysine--tRNA ligase	NaN	NaN	834496.3	777828.9	NaN	417439.3	NaN	NaN	2	2	NaN	2
;;	glycine biosynthetic process from serine,tetrahydrofolate interconversion;;	glycine hydroxymethyltransferase activity,pyridoxal phosphate binding;;	A0A287BKR2;A0A5G2R6D0;A0A5G2R9A2	SHMT2	Serine hydroxymethyltransferase	NaN	NaN	707.9097	NaN	484039.9	1114705	NaN	NaN	4	NaN	4	4
;;;;nucleus,nucleoplasm,cytosol,membrane,extracellular exosome,BAT3 complex	;;;;kidney development,immune response-activating cell surface receptor signaling pathway,chromatin organization,ubiquitin-dependent protein catabolic process,apoptotic process,synaptonemal complex assembly,spermatogenesis,brain development,embryo development,proteasomal protein catabolic process,internal peptidyl-lysine acetylation,natural killer cell activation,cell differentiation,lung development,ER-associated ubiquitin-dependent protein catabolic process,negative regulation of proteasomal ubiquitin-dependent protein catabolic process,intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator,regulation of apoptotic process,negative regulation of apoptotic process,negative regulation of proteolysis,protein stabilization,Requires Ontology,intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress,ER-associated misfolded protein catabolic process,tail-anchored membrane protein insertion into ER membrane,positive regulation of ERAD pathway,maintenance of unfolded protein involved in ERAD pathway	;;;;receptor binding,protein binding,Hsp70 protein binding,polyubiquitin binding,ubiquitin protein ligase binding,ribosome binding,misfolded protein binding,proteasome binding,ubiquitin-specific protease binding	A0A2C9F389;A0A2C9F3E5;A0A2C9F3H8;A0A5G2QAF4;A5D9M6	BAG6	BCL2-associated athanogene 6;BCL2-associated athanogene 6;BCL2-associated athanogene 6;BCL2-associated athanogene 6;Large proline-rich protein BAG6	NaN	NaN	230369.7	2399997	2214784	893007.4	NaN	NaN	5	5	5	5
;;elongin complex	;;ubiquitin-dependent protein catabolic process,protein ubiquitination,positive regulation of transcription elongation from RNA polymerase II promoter	;;ubiquitin-protein transferase activity	A0A287B950;A0A5G2QXY8;F2Z545	ELOC	Elongin-C	NaN	NaN	1245036	149280	898036.7	3050247	NaN	NaN	1	1	1	1
;;	;;	;;	A0A287AF78;A0A5G2QNU8;A0A5G2R9L6	ENAH	WH1 domain-containing protein	NaN	NaN	2877933	2871028	3916116	4801736	NaN	NaN	1	1	1	1
;;;	;;;	;;;	A0A286ZMV3;A0A287AVU2;A0A480TXY7;A0A5G2RG38	UBAC1	UBA domain containing 1	NaN	NaN	1.005537E+07	3250258	1953603	2870695	NaN	NaN	2	2	2	2
;;mitochondrion	;;	;;hydrolase activity	A0A5G2QN30;A0A5G2R2F9;F1RJM8	ABHD11	Abhydrolase domain containing 11	NaN	NaN	2196278	3697363	2404635	1504024	NaN	NaN	1	1	1	1
;;;;;;;;;;;;;	;;;protein ubiquitination;protein ubiquitination;;;;;;;;;	;;;ubiquitin-protein transferase activity;ubiquitin-protein transferase activity;;;;;;;;;	A0A286ZR21;A0A286ZTS7;A0A286ZVS8;A0A287AI88;A0A287AX02;A0A287B1M4;A0A287B1R7;A0A287BIE4;A0A5G2QC75;A0A5G2QJ01;A0A5G2R0L1;F1SM37;F1SM38;I3L6R7	NEDD4L;NEDD4;NEDD4L;NEDD4;NEDD4L;NEDD4L;NEDD4L;NEDD4;NEDD4L;NEDD4L;NEDD4L;NEDD4L;NEDD4L;NEDD4	HECT-type E3 ubiquitin transferase;E3 ubiquitin-protein ligase;HECT-type E3 ubiquitin transferase;HECT-type E3 ubiquitin transferase;HECT-type E3 ubiquitin transferase;HECT-type E3 ubiquitin transferase;HECT-type E3 ubiquitin transferase;HECT-type E3 ubiquitin transferase;HECT-type E3 ubiquitin transferase;HECT-type E3 ubiquitin transferase;HECT-type E3 ubiquitin transferase;HECT-type E3 ubiquitin transferase;HECT-type E3 ubiquitin transferase;HECT-type E3 ubiquitin transferase	NaN	NaN	511911.8	NaN	1215087	992437.6	NaN	NaN	1	NaN	1	1
mRNA cleavage factor complex;	;	RNA binding;	A0A286ZTD7;F1RKQ8	CPSF7	Cleavage and polyadenylation specific factor 7	NaN	NaN	8432.179	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN	NaN
extracellular matrix	negative regulation of endopeptidase activity	serine-type endopeptidase inhibitor activity	F1SKM1	COL7A1	Uncharacterized protein	NaN	NaN	532430.7	NaN	65296.66	NaN	NaN	NaN	1	NaN	1	NaN
;heterochromatin,nucleus,nucleoplasm,cytosol	;resolution of meiotic recombination intermediates,sister chromatid segregation,neuron migration,DNA topological change,axonogenesis,forebrain development,mitotic DNA integrity checkpoint	;DNA binding,chromatin binding,DNA topoisomerase type II (ATP-hydrolyzing) activity,protein kinase C binding,ATP binding,protein C-terminus binding,histone deacetylase binding,protein heterodimerization activity	A0A5G2R5Z1;F1RS45	TOP2B	DNA topoisomerase 2	NaN	NaN	1143519	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN	NaN
nucleus,mitochondrion,P granule,piP-body	RNA processing,male meiosis I,spermatogenesis,fertilization,negative regulation of transposition,piRNA metabolic process,DNA methylation involved in gamete generation	RNA binding,ATP-dependent RNA helicase activity,ATP binding	F1S9V4	TDRD9	Tudor domain containing 9	NaN	NaN	7419588	5374855	6571802	6366339	NaN	NaN	1	1	1	1
;	;	;	A0A5G2QSQ4;A0A5G2REP6	C3H16orf96	Chromosome 3 C16orf96 homolog	NaN	NaN	6370821	1.809587E+07	9693468	1343172	NaN	NaN	1	1	1	1
;;	;;	;;	A0A287B924;A0A5G2R903;F6Q7B0	APPL2	Adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2;Adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2;Adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2	NaN	NaN	1.381564E+07	4278245	7944284	1.807541E+07	NaN	NaN	1	1	1	1
;	;protein demethylation,regulation of phosphoprotein phosphatase activity	;protein phosphatase regulator activity,cadherin binding,protein phosphatase 2A binding,protein C-terminal methylesterase activity,protein methylesterase activity	A0A5G2R744;I3LJT9	PPME1	Protein phosphatase methylesterase 1	NaN	NaN	2111876	318077.3	827100	1598771	NaN	NaN	2	2	2	2
;;;;nucleoplasm,cytosol	;;;;regulation of ephrin receptor signaling pathway	;;;;ephrin receptor binding	A0A287AJ68;A0A287BAB7;A0A5G2QPU6;A0A5G2R7I5;F1RZ13	ANKS1A	Ankyrin repeat and sterile alpha motif domain containing 1A	NaN	NaN	4882659	NaN	6210382	NaN	NaN	NaN	1	NaN	1	NaN
;	ubiquitin-dependent protein catabolic process,protein deubiquitination;	thiol-dependent ubiquitinyl hydrolase activity;	A0A287ACW6;F1RX17	USP9X	Ubiquitinyl hydrolase 1	NaN	NaN	521399.9	1552589	2548661	6802021	NaN	NaN	8	8	8	8
;;nuclear pore,nucleoplasm,cytosol	;;NLS-bearing protein import into nucleus	;;nuclear localization sequence binding,protein transporter activity,nuclear import signal receptor activity	A0A5G2QTJ8;C6K7H9;I3L9F7	KPNA1	Importin subunit alpha;Importin subunit alpha;Karyopherin subunit alpha 1	NaN	NaN	319698	471797.2	1144190	133904.2	NaN	NaN	1	1	1	1
;AP-3 adaptor complex,clathrin adaptor complex;;;;;;	;intracellular protein transport,vesicle-mediated transport;;;;;;	;;;;;;;	A0A287AUH6;A0A287B311;A0A5G2QF88;A0A5G2R2N2;A0A5G2RC09;A0A5G2RDX6;F1S2G1;I3LL16	AP3B1	AP-3 complex subunit beta	NaN	NaN	579514.6	NaN	NaN	NaN	NaN	NaN	2	NaN	NaN	NaN
;	;	;	A0A287A7Q3;A0A287AW90	GNB1	G protein subunit beta 1	NaN	NaN	4977189	3887674	864537.1	3655360	NaN	NaN	2	2	2	2
;plasma membrane,endomembrane system	;	;receptor binding,beta-catenin binding,protein C-terminus binding,phosphatase binding,protein complex scaffold,cadherin binding	A0A5G2QIN1;B6EAV5	SLC9A3R2	SLC9A3 regulator 2;Na(+)/H(+) exchange regulatory cofactor NHE-RF	NaN	NaN	5021471	3865873	2348437	2110548	NaN	NaN	1	1	1	1
;;cytosol,plasma membrane	;;bone development	;;actin binding,calcium ion binding	A0A5K1TXL1;F1RWT2;K7GQS5	PLS3	Plastin 3	NaN	NaN	8637598	6215389	2.234901E+07	NaN	NaN	NaN	7	7	7	NaN
protein phosphatase type 1 complex,PTW/PP1 phosphatase complex;	protein dephosphorylation;	protein serine/threonine phosphatase activity,metal ion binding;	A0A286ZL42;Q2EHH8	PPP1CA	Serine/threonine-protein phosphatase	NaN	NaN	3025343	NaN	NaN	1281556	NaN	NaN	2	NaN	NaN	2
;;;;;;;;	;;;;;;;;	;selenium binding;;;;;;;	A0A286ZRR3;A0A286ZTB0;A0A286ZVY0;A0A480MVX6;A0A5G2QT34;A0A5G2QX06;A0A5G2R406;A0A5G2R8J3;F1ST01	SELENBP1	Selenium binding protein 1	NaN	NaN	1776855	1214613	NaN	5510136	NaN	NaN	5	5	NaN	5
endoplasmic reticulum,Golgi apparatus,plasma membrane,extracellular matrix,very-low-density lipoprotein particle,low-density lipoprotein particle,intermediate-density lipoprotein particle,high-density lipoprotein particle,chylomicron,Requires Ontology	negative regulation of endothelial cell proliferation,response to dietary excess,triglyceride metabolic process,cholesterol catabolic process,cellular calcium ion homeostasis,receptor-mediated endocytosis,response to oxidative stress,G-protein coupled receptor signaling pathway,nitric oxide mediated signal transduction,long-term memory,regulation of gene expression,negative regulation of platelet activation,positive regulation of cholesterol esterification,positive regulation of cholesterol efflux,lipid transport involved in lipid storage,positive regulation of neuron projection development,negative regulation of neuron projection development,long-chain fatty acid transport,protein import,virion assembly,cGMP-mediated signaling,positive regulation of cGMP biosynthetic process,regulation of protein homooligomerization,regulation of Cdc42 protein signal transduction,positive regulation of low-density lipoprotein particle receptor catabolic process,cholesterol efflux,phospholipid efflux,very-low-density lipoprotein particle remodeling,low-density lipoprotein particle remodeling,high-density lipoprotein particle remodeling,high-density lipoprotein particle assembly,chylomicron remnant clearance,high-density lipoprotein particle clearance,very-low-density lipoprotein particle clearance,locomotory exploration behavior,lipoprotein biosynthetic process,lipoprotein catabolic process,vasodilation,cholesterol homeostasis,amyloid precursor protein metabolic process,negative regulation of MAP kinase activity,negative regulation of blood vessel endothelial cell migration,reverse cholesterol transport,positive regulation by host of viral process,negative regulation of cholesterol biosynthetic process,positive regulation of endocytosis,positive regulation of lipid biosynthetic process,artery morphogenesis,negative regulation of inflammatory response,positive regulation of nitric-oxide synthase activity,positive regulation of membrane protein ectodomain proteolysis,maintenance of location in cell,fatty acid homeostasis,positive regulation of dendritic spine development,response to caloric restriction,triglyceride homeostasis,negative regulation of canonical Wnt signaling pathway,negative regulation of triglyceride metabolic process,AMPA glutamate receptor clustering,NMDA glutamate receptor clustering,cellular oxidant detoxification,regulation of beta-amyloid clearance,negative regulation of long-term synaptic potentiation,negative regulation of neuron death,positive regulation of postsynaptic membrane organization,negative regulation of presynaptic membrane organization,negative regulation of beta-amyloid formation,positive regulation of dendritic spine maintenance,positive regulation of phospholipid efflux,positive regulation of lipid transport across blood brain barrier,Requires Ontology,regulation of behavioral fear response	beta-amyloid binding,phospholipid binding,heparin binding,antioxidant activity,cholesterol transporter activity,protein homodimerization activity,metal chelating activity,tau protein binding,low-density lipoprotein particle receptor binding,phosphatidylcholine-sterol O-acyltransferase activator activity,very-low-density lipoprotein particle receptor binding,lipoprotein particle binding	F1RM45	APOE	Apolipoprotein E	NaN	NaN	730206.4	3847856	NaN	1163391	NaN	NaN	4	4	NaN	4
;;;;;;;;kinetochore,spindle pole,nuclear envelope,centrosome,centriole,cytosol,dynactin complex,retromer complex,cell leading edge,microtubule plus-end,intermediate filament cytoskeleton,cell cortex region,Requires Ontology	;;;;;;;;establishment of mitotic spindle orientation,centriole-centriole cohesion,transport along microtubule,melanosome transport,microtubule anchoring at centrosome,retrograde transport, endosome to Golgi,nuclear envelope disassembly,regulation of mitotic spindle organization,positive regulation of microtubule nucleation,Requires Ontology	;;;;;;;;microtubule binding,protein kinase binding,dynein complex binding	A0A286ZRC7;A0A287AWV1;A0A287B1I4;A0A287B8J2;A0A5G2QI60;A0A5G2QPL9;A0A5G2R8J9;A0A5G2RFF7;F1SNT8	DCTN1	Dynactin subunit 1	NaN	NaN	252841.8	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN	NaN
;;early endosome,Golgi apparatus,cytosol,endosome membrane	;;cardiac septum development,intracellular protein transport,receptor-mediated endocytosis,signal transduction,aorta development,coronary vasculature development,retrograde transport, endosome to plasma membrane	;;protein C-terminus binding,phosphatidylinositol binding,low-density lipoprotein particle receptor binding	A0A5G2QP59;A0A5G2R118;I3L5E2	SNX17	Sorting nexin-17	NaN	NaN	5158846	270232.6	2096379	2423824	NaN	NaN	4	4	4	4
intracellular;;;	regulation of Rho protein signal transduction,intracellular signal transduction,regulation of molecular function;;;	Rho guanyl-nucleotide exchange factor activity,calcium ion binding;;;	A0A287A536;A0A5G2Q9S5;A0A5G2QFN5;I3LSM1	ITSN1	Uncharacterized protein	NaN	NaN	193995.4	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN	NaN
;;	;;	;;	A0A286ZK32;A0A287AMC9;F1RWN1	EGFL7	EGF like domain multiple 7	NaN	NaN	580494	NaN	258092	631463.3	NaN	NaN	1	NaN	1	1
;;;;	;;;protein transport;	;;;;	A0A286ZZ18;A0A287A426;A0A287B1J8;A0A287BIE8;F1S3B4	IST1	IST1 homolog	NaN	NaN	2039049	NaN	560138.3	NaN	NaN	NaN	2	NaN	2	NaN
;;	;;	;;	A0A286ZRC3;A0A287AVT7;F1RR45	CRAT	Carnitine O-acetyltransferase	NaN	NaN	783830.9	5148922	NaN	1389658	NaN	NaN	5	5	NaN	5
;;;;;;	;;;;;;	;;;;;;	A0A286ZRQ8;A0A286ZZ60;A0A287B2Y3;A0A287BG81;A0A287BT41;A0A5G2RFT9;I3LBS8	SYNRG	Synergin gamma	NaN	NaN	859544.2	2883669	NaN	2199705	NaN	NaN	2	2	NaN	2
;;intracellular	;;intracellular protein transport	;;	A0A287ATA0;A0A287BAN7;A0A287BKF0	TOM1L2	Target of myb1 like 2 membrane trafficking protein;TOM1-like protein 2 isoform 3;TOM1-like protein 2 isoform 10	NaN	NaN	3.45473E+07	1.166337E+07	1.2531E+07	1.953611E+07	NaN	NaN	9	9	9	9
			A0A287ATN8	HSPD1	60 kDa chaperonin	NaN	NaN	1683976	211960.1	1634546	1286312	NaN	NaN	7	7	7	7
integral component of membrane	electron transport chain	electron carrier activity,heme binding,metal ion binding	A0A287AZF9	CYC1	Cytochrome c1	NaN	NaN	455938	618105.2	417577.5	275439.8	NaN	NaN	4	4	4	4
			A0A5G2Q8H3	MMAB	Corrinoid adenosyltransferase	NaN	NaN	1818534	6712968	1.590496E+07	641987	NaN	NaN	4	4	4	4
;nuclear body	;protein K48-linked deubiquitination	;thiol-dependent ubiquitin-specific protease activity,cysteine-type carboxypeptidase activity,K48-linked polyubiquitin binding,Lys48-specific deubiquitinase activity	A0A287ABN0;F1SS98	MINDY1	Ubiquitin carboxyl-terminal hydrolase	NaN	NaN	4.437458E+07	606835.9	532014.8	NaN	NaN	NaN	1	1	1	NaN
proteasome regulatory particle, base subcomplex;	ubiquitin-dependent protein catabolic process;	;	A0A288CG47;A0A5G2QWE0	PSMD4	26S proteasome non-ATPase regulatory subunit 4	NaN	NaN	2582415	1153301	NaN	381589.3	NaN	NaN	2	2	NaN	2
;nucleus,nucleoplasm,cytoplasm	;MAPK cascade,toll-like receptor signaling pathway,cell surface receptor signaling pathway,peptidyl-serine phosphorylation,response to lipopolysaccharide,response to cytokine,macropinocytosis,protein autophosphorylation	;calmodulin-dependent protein kinase activity,signal transducer activity,calmodulin binding,ATP binding,calcium-dependent protein serine/threonine kinase activity,mitogen-activated protein kinase binding	A0A5K1UJP6;B8XSJ7	MAPKAPK3	MAPK activated protein kinase 3;Non-specific serine/threonine protein kinase	NaN	NaN	1858328	5596842	265018.5	195745.8	NaN	NaN	2	2	2	2
			A0A5G2R416	TGM2	Transglutaminase 2	NaN	NaN	3.173949E+08	2.287428E+08	2.733889E+08	2.111933E+08	NaN	NaN	2	2	2	2
			A0A287BEA5	DDX17	RNA helicase	NaN	NaN	1.851363E+07	1723449	1.16653E+07	1.184426E+07	NaN	NaN	3	3	3	3
;mitochondrion,lysosomal membrane,late endosome membrane,perinuclear region of cytoplasm	;calcium ion transport,regulation of muscle contraction,ion transmembrane transport,protein homooligomerization,mitochondrial calcium ion homeostasis,apoptotic signaling pathway	;calcium ion binding,GTP binding,calcium-dependent phospholipid binding,ligand-gated ion channel activity,cholesterol binding,protein homodimerization activity,calcium-dependent protein binding	A0A5G2RBI3;F1S0V3	ANXA6	Annexin	NaN	NaN	517552.9	2360661	1099877	3236516	NaN	NaN	5	5	5	5
;;;;;;;nuclear speck,cytoplasmic ribonucleoprotein granule	;;;;;;;poly(A)+ mRNA export from nucleus	;;;;;;;RNA binding	A0A287A4P3;A0A287BAW3;A0A480TN22;A0A5G2QK20;A0A5G2QPM3;A0A5G2R0J8;A0A5G2R7D4;F1SJQ4	POLDIP3	DNA polymerase delta interacting protein 3	NaN	NaN	213480.4	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN	NaN
